cod_municipio,municipio,regiao_imediata,regiao_intermediaria
421260,Peritiba,Concórdia,Chapecó
421265,Pescaria Brava,Tubarão,Criciúma
421270,Petrolândia,Ituporanga,Blumenau
421280,Balneário Piçarras,Itajaí,Blumenau
421290,Pinhalzinho,Chapecó,Chapecó
421300,Pinheiro Preto,Videira,Caçador
421310,Piratuba,Concórdia,Chapecó
421315,Planalto Alegre,Chapecó,Chapecó
421320,Pomerode,Blumenau,Blumenau
421330,Ponte Alta,Lages,Lages
421335,Ponte Alta do Norte,Curitibanos,Lages
421340,Ponte Serrada,Xanxerê,Chapecó
421350,Porto Belo,Itajaí,Blumenau
421360,Porto União,Mafra,Joinville
421370,Pouso Redondo,Rio do Sul,Blumenau
421380,Praia Grande,Araranguá,Criciúma
421390,Presidente Castello Branco,Concórdia,Chapecó
421400,Presidente Getúlio,Ibirama - Presidente Getúlio,Blumenau
421410,Presidente Nereu,Rio do Sul,Blumenau
421415,Princesa,São Miguel do Oeste,Chapecó
421420,Quilombo,Chapecó,Chapecó
421430,Rancho Queimado,Florianópolis,Florianópolis
421440,Rio das Antas,Videira,Caçador
421450,Rio do Campo,Rio do Sul,Blumenau
421460,Rio do Oeste,Rio do Sul,Blumenau
421470,Rio dos Cedros,Blumenau,Blumenau
421480,Rio do Sul,Rio do Sul,Blumenau
421490,Rio Fortuna,Tubarão,Criciúma
421500,Rio Negrinho,São Bento do Sul - Rio Negrinho,Joinville
421505,Rio Rufino,Lages,Lages
421507,Riqueza,Chapecó,Chapecó
421510,Rodeio,Blumenau,Blumenau
421520,Romelândia,São Miguel do Oeste,Chapecó
421530,Salete,Rio do Sul,Blumenau
421535,Saltinho,Maravilha,Chapecó
421540,Salto Veloso,Videira,Caçador
421545,Sangão,Tubarão,Criciúma
421550,Santa Cecília,Curitibanos,Lages
421555,Santa Helena,São Miguel do Oeste,Chapecó
421560,Santa Rosa de Lima,Tubarão,Criciúma
421565,Santa Rosa do Sul,Araranguá,Criciúma
421567,Santa Terezinha,Rio do Sul,Blumenau
421568,Santa Terezinha do Progresso,Maravilha,Chapecó
421569,Santiago do Sul,Chapecó,Chapecó
421570,Santo Amaro da Imperatriz,Florianópolis,Florianópolis
421575,São Bernardino,São Lourenço do Oeste,Chapecó
421580,São Bento do Sul,São Bento do Sul - Rio Negrinho,Joinville
421590,São Bonifácio,Florianópolis,Florianópolis
421600,São Carlos,Chapecó,Chapecó
421605,São Cristóvão do Sul,Curitibanos,Lages
421610,São Domingos,Xanxerê,Chapecó
421620,São Francisco do Sul,Joinville,Joinville
421625,São João do Oeste,São Miguel do Oeste,Chapecó
421630,São João Batista,Brusque,Blumenau
421635,São João do Itaperiú,Joinville,Joinville
421640,São João do Sul,Araranguá,Criciúma
421650,São Joaquim,Lages,Lages
421660,São José,Florianópolis,Florianópolis
421670,São José do Cedro,São Miguel do Oeste,Chapecó
421680,São José do Cerrito,Lages,Lages
421690,São Lourenço do Oeste,São Lourenço do Oeste,Chapecó
421700,São Ludgero,Tubarão,Criciúma
421710,São Martinho,Tubarão,Criciúma
421715,São Miguel da Boa Vista,Maravilha,Chapecó
421720,São Miguel do Oeste,São Miguel do Oeste,Chapecó
421725,São Pedro de Alcântara,Florianópolis,Florianópolis
421730,Saudades,Chapecó,Chapecó
421740,Schroeder,Joinville,Joinville
421750,Seara,Concórdia,Chapecó
421755,Serra Alta,Chapecó,Chapecó
421760,Siderópolis,Criciúma,Criciúma
421770,Sombrio,Araranguá,Criciúma
421775,Sul Brasil,Chapecó,Chapecó
421780,Taió,Rio do Sul,Blumenau
421790,Tangará,Videira,Caçador
421795,Tigrinhos,Maravilha,Chapecó
421800,Tijucas,Itajaí,Blumenau
421810,Timbé do Sul,Araranguá,Criciúma
421820,Timbó,Blumenau,Blumenau
421825,Timbó Grande,Caçador,Caçador
421830,Três Barras,Mafra,Joinville
421835,Treviso,Criciúma,Criciúma
421840,Treze de Maio,Tubarão,Criciúma
421850,Treze Tílias,Joaçaba - Herval d'Oeste,Chapecó
421860,Trombudo Central,Rio do Sul,Blumenau
421870,Tubarão,Tubarão,Criciúma
421875,Tunápolis,São Miguel do Oeste,Chapecó
421880,Turvo,Araranguá,Criciúma
421885,União do Oeste,Chapecó,Chapecó
421890,Urubici,Lages,Lages
421895,Urupema,Lages,Lages
421900,Urussanga,Criciúma,Criciúma
421910,Vargeão,Xanxerê,Chapecó
421915,Vargem,Joaçaba - Herval d'Oeste,Chapecó
421917,Vargem Bonita,Joaçaba - Herval d'Oeste,Chapecó
421920,Vidal Ramos,Ituporanga,Blumenau
421930,Videira,Videira,Caçador
421935,Vitor Meireles,Ibirama - Presidente Getúlio,Blumenau
421940,Witmarsum,Ibirama - Presidente Getúlio,Blumenau
421950,Xanxerê,Xanxerê,Chapecó
421960,Xavantina,Xanxerê,Chapecó
421970,Xaxim,Chapecó,Chapecó
421985,Zortéa,Joaçaba - Herval d'Oeste,Chapecó
422000,Balneário Rincão,Criciúma,Criciúma
