cod_cnae_classe;CNAE Classe;cod_cnae_divisao;CNAE Divisão
10511;Preparação do leite;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10520;Fabricação de laticínios;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10538;Fabricação de sorvetes e outros gelados comestíveis;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10619;Beneficiamento de arroz e fabricação de produtos do arroz;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10627;Moagem de trigo e fabricação de derivados;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10635;Fabricação de farinha de mandioca e derivados;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10643;Fabricação de farinha de milho e derivados, exceto óleos de milho;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10651;Fabricação de amidos e féculas de vegetais e de óleos de milho;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10660;Fabricação de alimentos para animais;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10694;Moagem e fabricação de produtos de origem vegetal não especificados anteriormente;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10716;Fabricação de açúcar em bruto;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10724;Fabricação de açúcar refinado;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10813;Torrefação e moagem de café;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10821;Fabricação de produtos à base de café;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10911;Fabricação de produtos de panificação;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10929;Fabricação de biscoitos e bolachas;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10937;Fabricação de produtos derivados do cacau, de chocolates e confeitos;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
10945;Fabricação de massas alimentícias;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS
