cod_cnae_classe;CNAE Classe;cod_cnae_divisao;CNAE Divisão
26221;Fabricação de periféricos para equipamentos de informática;26;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS
26311;Fabricação de equipamentos transmissores de comunicação;26;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS
26329;Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação;26;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS
26400;Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo;26;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS
26515;"Fabricação de aparelhos e equipamentos de medida, teste e
controle";26;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS
26523;Fabricação de cronômetros e relógios;26;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS
26604;Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação;26;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS
26701;Fabricação de equipamentos e instrumentos ópticos, fotográficos e cinematográficos;26;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS
26809;Fabricação de mídias virgens, magnéticas e ópticas;26;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS
27104;Fabricação de geradores, transformadores e motores elétricos;27;FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS
